IP,Hostname Radius,Hostname Opsview, Hostname Kibana
210.245.0.192,HCM-1,None,None
210.245.31.143,HCM-2,None,None
210.245.0.36,ISP-DSL01,None,None
210.245.0.37,ISP-DSL02,None,None
210.245.0.38,ISP-DSL03,None,None
210.245.0.39,ISP-DSL04,None,None
210.245.0.3,FPT-HNCUST04,None,None
210.245.31.138,HCM-3,None,None
210.245.0.35,ISP-DSL05,None,None
210.245.0.40,ISP-DSL06,None,None
210.245.0.55,ISP-SSG01,None,None
210.245.0.41,ISP-DSL07,None,None
210.245.0.42,ISP-DSL08,None,None
210.245.24.30,ISP-TEST,None,None
210.245.0.43,ISP-DSL09,None,None
210.245.0.44,ISP-DSL10,None,None
210.245.0.45,ISP-DSL11,None,None
210.245.0.46,ISP-DSL12,None,None
210.245.15.6,HN-AS53-RAS,None,None
210.245.0.100,ISP-DSL00,None,None
210.245.0.47,ISP-DSL13,None,None
210.245.0.48,ISP-DSL14,None,None
210.245.0.51,ISP-DSL15,None,None
210.245.0.52,ISP-DSL16,None,None
210.245.0.49,ISP-DSL17,None,None
210.245.0.53,ISP-DSL18,None,None
210.245.0.56,ISP-DSL20,None,None
210.245.0.54,ISP-DSL19,None,None
118.70.1.10,ISP-DSL21,None,None
118.70.0.241,HN-BRAS01,None,None
118.70.0.243,HN-BRAS03,None,None
118.70.0.242,HN-BRAS02,None,None
118.70.0.244,HN-BRAS04,None,None
118.70.2.252,TN-BRAS01,None,None
118.70.2.251,TN-BRAS04,None,None
118.70.2.248,TN-BRAS02,None,None
118.70.0.233,BRAS-T,None,None
118.70.2.247,HN-NT-BRAS04,None,None
118.70.0.245,HN-BRAS05,None,None
118.70.2.238,TN-BRAS03,None,None
118.70.232.253,YBI-BRAS01,YBI-MP01,YBI-MP01-1
210.245.0.136,Monitor-HN,None,None
118.70.0.85,YBI-MP02,YBI-MP02,YBI-MP01-2
210.245.0.134,opsview-slave01,None,None
118.70.2.242,NAN-BRAS01,None,None
118.70.2.243,NAN-BRAS02,None,None
118.70.2.244,NAN-BRAS03,None,None
118.70.2.237,TN-BRAS05,None,None
118.70.224.246,HP-BRAS07,None,None
118.70.2.236,NAN-BRAS04,None,None
118.70.0.201,HN-MP02-2,HNI-MP02-2,HN-MP02-2
118.70.0.204,HN-MP04-01,None,None
42.114.255.43,PFSENSE25543,None,None
210.245.86.146,pfsense.localdomain,None,None
118.70.0.135,HN-MX960-Lab-01,None,None
210.245.31.160,opsview-slave02,None,None
42.114.255.42,PFSENSE25542,None,None
42.112.3.98,portal.localdomain,None,None
118.70.0.253,TQG-BRAS01,None,None
118.70.0.174,DBN-BRAS01,None,None
118.70.0.175,SLA-BRAS01,None,None
42.114.255.45,tnn.localdomain,None,None
118.70.0.161,HN-MX5-2-Test,None,None
118.70.0.172,HP-MP01,None,None
42.114.255.44,dorm.f.fu,None,None
210.245.86.149,portal.localdomainBK,None,None
118.70.0.99,HD-BRAS02,None,None
118.70.135.2,test KTHT,None,None
118.70.0.132,NAN-MX05-03,None,None
118.70.0.153,HP-MP02,None,None
118.70.0.200,HN-MP01-2,HNI-MP01-2,HN-MP01-2
118.70.0.151,MX05-1,None,None
118.70.0.203,HN-MP03-2,HNI-MP03-2,HN-MP03-2
118.70.0.81,QNH-MP01,QNH-MP01,QNH-MP01
118.70.0.82,QNH-MP02,QNH-MP02,QNH-MP02
118.70.0.83,QNH-MP03,QNH-MP03,QNH-MP03
118.70.0.84,QNH-MP04,QNH-MP04,QNH-MP04
118.70.0.155,HN-MX5-Test1,None,None
118.70.0.236,HN-MP03-1,HNI-MP03-1,HN-MP03-1
118.70.0.240,HN-MP01-1,HNI-MP01-1,HN-MP01-1
118.70.0.205,HN-MP04-02,None,None
118.70.0.137,HN-MX960-Lab,None,None
118.70.0.208,NAN-MX05-01,None,None
118.70.0.209,NAN-MX05-02,None,None
118.70.0.227,DAH-MP01,DAH-MP01,DAH-MP01-1
118.70.0.228,DAH-MP02,DAH-MP02,DAH-MP01-2
118.70.0.156,BRAS-C50,None,None
118.70.0.64,TNN-MP01-NEW,TNN-MP01-1,TNN-MP01-1
118.70.0.157,TNN-MP02,TNN-MP01-2,TNN-MP01-2
118.70.0.65,TNN-MP03,TNN-MP01-3,TNN-MP01-3
118.70.0.66,TNN-MP04,TNN-MP01-4,TNN-MP01-4
118.70.0.202,HN-MP02-3,HNI-MP02-3,HN-MP02-3
118.70.0.97,HN-MP02-4,HNI-MP02-4,HN-MP02-4
118.70.0.80,NAN-MX05-04,None,None
210.245.0.234,Opview-NOCHN34,None,None
118.70.0.67,HYN-MP01,HYN-MP01,HYN-MP01
118.70.0.68,HYN-MP02,HYN-MP02,HYN-MP02
118.70.0.112,HN-MP02-1-NEW,HNI-MP02-1,HN-MP02-1
118.70.0.52,PTO-MP01,PTO-MP01,PTO-MP01-1
118.70.0.53,PTO-MP02,PTO-MP02,PTO-MP01-2
118.70.0.102,HTH-MP01,HTH-MP01,HTH-MP01-1
118.70.0.103,HTH-MP02,HTH-MP02,HTH-MP01-2
118.70.0.2,VPC-MP01,VPC-MP01,VPC-MP01-1
118.70.0.3,VPC-MP02,VPC-MP02,VPC-MP01-2
118.70.0.4,NAN-MP03,None,None
118.70.0.5,NAN-MP04,None,None
118.70.0.8,LSN-MP01,LSN-MP01,LSN-MP01-1
118.70.0.9,LSN-MP02,LSN-MP02,LSN-MP01-2
118.70.0.13,HN-MP02-6,HNI-MP02-6,HN-MP02-6
118.70.0.248,STY-MP01,STY-MP01,STY-MP01-1
118.70.0.249,STY-MP02,STY-MP02,STY-MP01-2
210.245.1.222,HN-CUST03,None,None
118.70.0.28,HP-MP01-NEW,HPG-MP01-NEW,HPG-MP01-1
118.70.0.29,HP-MP02-NEW,HPG-MP02-NEW,HPG-MP01-1
118.70.0.12,HN-MP02-5,HNI-MP02-5,HN-MP02-5
118.70.0.106,HDG-MP01-1,HDG-MP01-1,HDG-MP01-1
118.70.0.107,HDG-MP01-2,HDG-MP01-2,HDG-MP01-2
118.70.0.108,HDG-MP01-3,HDG-MP01-3,HDG-MP01-3
118.70.0.109,HDG-MP01-4,HDG-MP01-4,HDG-MP01-4
118.70.0.14,HN-MP05-1,HNI-MP05-1,HN-MP05-1
118.70.0.15,HN-MP05-2,HNI-MP05-2,HN-MP05-2
118.70.0.30,HN-MP02-7,HNI-MP02-7,HN-MP02-7
118.70.0.31,HN-MP02-8,HNI-MP02-8,HN-MP02-8
118.70.0.110,HYN-MP01-3,HYN-MP03,HYN-MP01-3
118.70.0.111,HYN-MP01-4,HYN-MP04,HYN-MP01-4
118.70.0.76,BNH-MP01-1,BNH-MP01-1,BNH-MP01-1
118.70.0.77,BNH-MP01-2,BNH-MP01-2,BNH-MP01-2
118.70.0.78,BNH-MP01-3,BNH-MP01-3,BNH-MP01-3
118.70.0.79,BNH-MP01-4,BNH-MP01-4,BNH-MP01-4
118.70.0.20,THA-MP01-1,THA-MP01-1,THA-MP01-1
118.70.0.21,THA-MP01-2,THA-MP01-2,THA-MP01-2
118.70.0.22,THA-MP01-3,THA-MP01-3,THA-MP01-3
118.70.0.23,THA-MP01-4,THA-MP01-4,THA-MP01-4
118.70.0.221,TQG-MP01-1,TQG-MP01-1,None
118.70.0.222,TQG-MP01-2,TQG-MP01-2,None
118.70.0.91,NAN-MP01-1,NAN-MP01-1,None
118.70.0.92,NAN-MP01-2,NAN-MP01-2,None
118.70.0.93,NAN-MP01-3,NAN-MP01-3,None
118.70.0.94,NAN-MP01-4,NAN-MP01-4,None
210.245.16.2,ISP-AS1,None,None
210.245.16.3,ISP-AS2,None,None
210.245.31.144,HCM-1,None,None
210.245.0.143,HAN-1,None,None
210.245.0.169,HAN-2,None,None
210.245.31.138,HCM-2,None,None
210.245.24.4,PPPoE-03,None,None
210.245.24.5,PPPoE-04,None,None
210.245.31.142,PRAdius3,None,None
210.245.29.98,PPPoE-LT2,None,None
210.245.31.141,PRAdius4,None,None
210.245.29.26,PPPoE-LT1,None,None
118.69.251.38,PPPoE-VL,None,None
210.245.31.140,PRAdius5,None,None
210.245.24.7,PPPoE-06,None,None
210.245.24.8,PPPoE-05,None,None
210.245.24.11,PPPoE-07,None,None
210.245.31.114,PPPoE-08,None,None
210.245.31.115,PPPoE-09,None,None
210.245.24.31,PPPoE-WL1,None,None
210.245.31.116,PPPoE-10,None,None
210.245.31.117,PPPoE-11,None,None
210.245.31.118,PPPoE-12,None,None
210.245.24.30,PPPoE-SSG-1,None,None
210.245.24.32,PPPoE-SSG-2,None,None
210.245.31.119,PPPoE-13,None,None
210.245.31.120,PPPoE-14,None,None
118.69.255.101,7200-NTG-01,None,None
118.69.254.137,BRAS-8,None,None
118.69.254.131,BRAS-3,None,None
210.245.24.3,PPPoE-02,None,None
210.245.31.232,EPZ-BRAS-01,None,None
118.69.254.133,BRAS-5,None,None
118.69.254.134,BRAS-6,None,None
118.69.254.135,BRAS-7,None,None
210.245.31.233,EPZ-PE2,None,None
118.69.255.102,TNH-MP01-1,TNH-MP01-1,TNH-MP01-1
118.69.254.2,BRAS-254.2,None,None
118.69.255.110,7200-DLK-04,None,None
118.69.255.95,7200-HUE-05,None,None
118.69.255.113,7200-HUE-06,None,None
118.69.255.176,HCM-QT-MP02-2,HCM-MP02-2,HCM-MP05-2
118.69.254.142,BRAS-25,None,None
118.69.255.96,EPZ-BRAS-CA,None,None
118.69.254.80,BRAS-JNP-E320,None,None
42.119.255.55,ASR9K,None,None
118.69.255.124,E120-MP03-01,None,None
118.69.241.7,PRAdius6,None,None
118.69.255.122,E120-MP05,None,None
210.245.31.147,BRAS-31147-TEST,None,None
118.69.255.98,R7200-MP02-4,None,None
118.69.255.100,7200-DNI-01-New,None,None
118.69.255.94,7200-DLK-03,None,None
118.69.255.111,7200-DNG-03,None,None
118.69.255.114,7200-DNG-07,None,None
118.69.255.103,TNH-MP01-2,TNH-MP01-2,TNH-MP01-2
118.69.255.104,7200-DNI-03-New,None,None
118.69.255.105,7200-DNI-05-New,None,None
118.69.255.108,7200-HUE-01,None,None
118.69.255.109,7200-HUE-02,None,None
118.69.255.112,7200-DLK-02,None,None
118.69.255.116,7200-DNG-04,None,None
118.69.255.117,C7200-BTN-03,None,None
210.245.31.149,Monitor-HCM,None,None
118.69.255.128,E120-MP05-2,None,None
118.69.255.118,7200-BRAS-COA,None,None
118.69.255.115,7200-DLK-01,None,None
210.245.31.160,opsview-slave02,None,None
118.69.255.129,E120-DNG-01,None,None
118.69.255.99,7200-DNG-06,None,None
