Region,Ip,Hostname_Noc,Hostname_Radius,Hostname_Kibana
MN,118.69.185.241,AGG-MP-01-01,AGG-MP01-1,AGG-MP01-1
MN,118.69.185.242,AGG-MP-01-02,AGG-MP01-2,AGG-MP01-2
MN,118.69.185.200,BDG-MP-01-01,BDG-MP01-1-New,BDG-MP01-1
MN,118.69.185.201,BDG-MP-01-02,BDG-MP01-2-New,BDG-MP01-2
MN,118.69.255.26,BDH-MP-01-01,BDH-MP01-1,BDH-MP01-1
MN,118.69.255.27,BDH-MP-01-02,BDH-MP01-2,BDH-MP01-2
MN,118.69.255.167,BDH-MP-01-03,BDH-MP01-3,BDH-MP01-3
MN,118.69.255.168,BDH-MP-01-04,BDH-MP01-4,BDH-MP01-4
MN,118.69.255.86,BLC-MP-01-01,BLC-MP01-1,BLC-MP01-1
MN,118.69.255.87,BLC-MP-01-02,BLC-MP01-2,BLC-MP01-2
MN,118.69.185.3,BLU-MP-01-01,,
MN,118.69.185.4,BLU-MP-01-02,,
MB,118.70.0.76,BNH-MP-01-01,BNH-MP01-1,BNH-MP01-1
MB,118.70.0.77,BNH-MP-01-02,BNH-MP01-2,BNH-MP01-2
MB,118.70.0.78,BNH-MP-01-03,BNH-MP01-3,BNH-MP01-3
MB,118.70.0.79,BNH-MP-01-04,BNH-MP01-4,BNH-MP01-4
MN,118.69.185.78,BPC-MP-01-01,BPC-MP01-1,BPC-MP01-1
MN,118.69.185.79,BPC-MP-01-02,BPC-MP01-2,BPC-MP01-2
MN,118.69.185.79,BPC-MP-01-02,7200-FCAM-07,BPC-MP01-2
MN,118.69.255.15,BRA-MP-01-01,BRA-MP01-1,BRA-MP01-1
MN,118.69.255.16,BRA-MP-01-02,BRA-MP01-2,BRA-MP01-2
MN,118.69.185.20,BTE-MP-01-01,BTE-MP01-1,BTE-MP01-1
MN,118.69.185.21,BTE-MP-01-02,BTE-MP01-2,BTE-MP01-2
MN,118.69.255.2,BTN-MP-01-01,BTN-MP01-1-NEW,BTN-MP01-1-NEW
MN,118.69.255.3,BTN-MP-01-02,BTN-MP01-2-NEW,BTN-MP01-2-NEW
MN,118.69.185.5,CMU-MP-01-01,CMU-MP01-1,CMU-MP01-1
MN,118.69.185.6,CMU-MP-01-02,CMU-MP01-2,CMU-MP01-2
MN,118.69.255.227,CTO-MP01-1-NEW,CTO-MP01-1,CTO-MP01-1
MN,118.69.185.37,CTO-MP01-2-NEW,CTO-MP01-2-NEW,CTO-MP01-2
MB,118.70.0.227,DAH-MP-01-01,DAH-MP01,DAH-MP01-1
MB,118.70.0.228,DAH-MP-01-02,DAH-MP02,DAH-MP01-2
MN,118.69.255.77,DLK-MP-01-01,DLK-MP01-1,DLK-MP01-1
MN,118.69.255.78,DLK-MP-01-02,DLK-MP01-2,DLK-MP01-2
MN,118.69.185.144,DLK-MP-01-03,DLK-MP01-3,DLK-MP01-3
MN,118.69.255.58,DLK-MP-01-04,DLK-MP01-4,DLK-MP01-4
MN,42.119.255.29,DNG-MP-01-01,DNG-MP01-1,DNG-MP01-1
MN,42.119.255.196,DNG-MP-01-02,DNG-MP-2,DNG-MP01-2
MN,118.69.185.208,DNI-MP-01-01,DNI-MP01-1-NEW,DNI-MP01-1
MN,118.69.185.209,DNI-MP-01-02,DNI-MP01-2-NEW,DNI-MP01-2
MN,118.69.255.24,DTP-MP-01-01,DTP-MP01-1,DTP-MP01-1
MN,118.69.255.25,DTP-MP-01-02,DTP-MP01-2,DTP-MP01-2
MN,118.69.185.130,GLI-MP-01-01,GLI-MP01-1,GLI-MP01-1
MN,118.69.185.131,GLI-MP-01-02,GLI-MP01-2,GLI-MP01-2
MN,118.69.255.84,GLI-MP-01-03,GLI-MP01-3,GLI-MP01-3
MN,118.69.255.85,GLI-MP-01-04,GLI-MP01-4,GLI-MP01-4
MN,118.69.255.184,HCM-MP-01-01,HCM-MP01-1,HCM-MP05-1
MN,118.69.255.185,HCM-MP-01-02,HCM-MP01-2,HCM-MP05-2
MN,118.69.255.187,HCM-MP-02-01,HCM-MP02-1,HCM-MP05-1
MN,118.69.255.176,HCM-MP-02-02,HCM-QT-MP02-2,HCM-MP05-2
MN,118.69.255.106,HCM-MP-03-01,HCM-MP03-1-NEW,HCM-MP03-1-NEW
MN,118.69.255.107,HCM-MP-03-02,HCM-MP03-2-NEW,HCM-MP03-2-NEW
MN,118.69.185.24,HCM-MP-04-01,HCM-MP04-1-NEW,HCM-MP05-1
MN,118.69.185.25,HCM-MP-04-02,HCM-MP04-2,HCM-MP05-2
MN,118.69.185.226,HCM-MP-05-01,HCM-MP05-1,HCM-MP03-1-NEW
MN,118.69.185.149,HCM-MP-05-02,HCM-MP05-2,HCM-MP03-2-NEW
MN,118.69.255.252,HCM-MP-06-01,HCM-MP06-1,HCM-MP06-1
MN,118.69.255.253,HCM-MP-06-02,HCM-MP06-2,HCM-MP06-2
MN,118.69.255.83,HCM-MP-Backup-01,HCM-MP05-5,HCM-MP05-5
MN,42.119.255.72,HCM-MP-Backup-02,HCM-MP05-4,HCM-MP05-1
MB,118.70.0.106,HDG-MP-01-01,HDG-MP01-1,HDG-MP01-1
MB,118.70.0.107,HDG-MP-01-02,HDG-MP01-2,HDG-MP01-2
MB,118.70.0.108,HDG-MP-01-03,HDG-MP01-3,HDG-MP01-3
MB,118.70.0.109,HDG-MP-01-04,HDG-MP01-4,HDG-MP01-4
MN,118.69.185.9,HGG-MP-01-01,,
MN,118.69.185.10,HGG-MP-01-02,,
MB,118.70.0.240,HNI-MP-01-01,HN-MP01-1,HN-MP01-1
MB,118.70.0.200,HNI-MP-01-02,HN-MP01-2,HN-MP01-2
MB,118.70.0.112,HNI-MP-02-01,HN-MP02-1-NEW,HN-MP02-1
MB,118.70.0.201,HNI-MP-02-02,HN-MP02-2,HN-MP02-2
MB,118.70.0.12,HNI-MP-02-05,HN-MP02-5,HN-MP02-5
MB,118.70.0.13,HNI-MP-02-06,HN-MP02-6,HN-MP02-6
MB,118.70.0.30,HNI-MP-02-07,HN-MP02-7,HN-MP02-7
MB,118.70.0.31,HNI-MP-02-08,HN-MP02-8,HN-MP02-8
MB,118.70.0.236,HNI-MP-03-01,HN-MP03-1,HN-MP03-1
MB,118.70.0.203,HNI-MP-03-02,HN-MP03-2,HN-MP03-2
MB,118.70.0.14,HNI-MP-05-01,HN-MP05-1,HN-MP05-1
MB,118.70.0.15,HNI-MP-05-02,HN-MP05-2,HN-MP05-2
MB,118.70.0.97,HNI-MP-Backup-01,HN-MP02-4,HN-MP02-4
MB,118.70.0.202,HNI-MP-Backup-02,HN-MP02-3,HN-MP02-3
MB,118.70.0.28,HPG-MP-01-01,HP-MP01-NEW,HPG-MP01-1
MB,118.70.0.29,HPG-MP-01-02,HP-MP02-NEW,HPG-MP01-2
MB,118.70.0.102,HTH-MP-01-01,HTH-MP01,HTH-MP01-1
MB,118.70.0.103,HTH-MP-01-02,HTH-MP02,HTH-MP01-2
MN,118.69.185.198,HUE-MP-01-01,HUE-MP01-1-NEW,HUE-MP01-1-NEW
MN,118.69.185.199,HUE-MP-01-02,HUE-MP01-2-NEW,HUE-MP01-2-NEW
MB,118.70.0.67,HYN-MP-01-01,HYN-MP01,HYN-MP01
MB,118.70.0.68,HYN-MP-01-02,HYN-MP02,HYN-MP02
MB,118.70.0.110,HYN-MP-01-03,HYN-MP01-3,HYN-MP01-3
MB,118.70.0.111,HYN-MP-01-04,HYN-MP01-4,HYN-MP01-4
MN,118.69.185.7,KGG-MP-01-01,KGG-MP01-1,KGG-MP01-1
MN,118.69.185.8,KGG-MP-01-02,KGG-MP01-2,KGG-MP01-2
MN,118.69.255.200,KGG-MP01-3,KGG-MP01-3,KGG-MP01-3
MN,118.69.255.201,KGG-MP01-4,KGG-MP01-4,KGG-MP01-4
MN,118.69.255.9,KTM-MP-01-01,KTM-MP01-1,KTM-MP01-1
MN,118.69.255.10,KTM-MP-01-02,KTM-MP01-2,KTM-MP01-2
MN,118.69.255.162,LDG-MP-01-01,LDG-MP01-1,LDG-MP01-1
MN,118.69.255.163,LDG-MP-01-02,LDG-MP01-2,LDG-MP01-2
MN,118.69.185.43,LDG-MP-01-03,LDG-MP01-3,LDG-MP01-3
MN,118.69.185.44,LDG-MP-01-04,LDG-MP01-4,LDG-MP01-4
MN,118.69.185.16,LGI-MP-01-01,LGI-MP01-1,LGI-MP01-1
MN,118.69.185.17,LGI-MP-01-02,LGI-MP01-2,LGI-MP01-2
MB,118.70.0.8,LSN-MP-01-01,LSN-MP01,LSN-MP01-1
MB,118.70.0.9,LSN-MP-01-02,LSN-MP02,LSN-MP01-2
MB,118.70.0.91,NAN-MP-01-01,NAN-MP01-1,NAN-MP01-1
MB,118.70.0.92,NAN-MP-01-02,NAN-MP01-2,NAN-MP01-2
